title,year,wikipedia_url,Title_wiki,Director,Cast,Budget,Box_Office,Distributor,Production,Genre,box_value,multiplier,bo_num
Halla Bol,2008,https://en.wikipedia.org/wiki/Halla_Bol,Halla Bol,Rajkumar Santoshi,"Pankaj Kapur, Ajay Devgn, Vidya Balan",₹ 270 million ,₹ 193.9 million ,Indian FilmsthroughShree Ashtavinayak Cine Vision[1],,Is A 2008 Indian Hindi-Language Drama,193.9,1000000,193900000.0
Tulsi: Mathrudevobhava,2008,https://en.wikipedia.org/wiki/Tulsi_(film),Tulsi: Mathrudevobhava,K. Ajay Kumar,"Manisha Koirala, Irrfan Khan",₹ 1 crore ,"₹ 1,20 lakh ",Sri Tirumala Tirupathi Venkateswara Films,,Va Is A 2008 Indian Hindi Language Drama,1.0,100000,100000.0
Jodhaa Akbar,2008,https://en.wikipedia.org/wiki/Jodhaa_Akbar,Jodhaa Akbar,Ashutosh Gowariker,"Hrithik Roshan, Aishwarya Rai Bachchan",₹ 40 crore ,est. ₹ 120 crore ,UTV Motion Pictures,Ashutosh Gowariker Productions Private Limited,Epic Historical Drama,120.0,10000000,1200000000.0
Race,2008,https://en.wikipedia.org/wiki/Race_(2008_film),Race,Abbas–Mustan,"Anil Kapoor, Saif Ali Khan, Akshaye Khanna, Bipasha Basu, Katrina Kaif, Sameera Reddy",₹ 46 crore ,₹103.45 crore ,UTV Motion Pictures,Tips Industries,Neo-Noir Action Crime,103.45,10000000,1034500000.0
One Two Three,2008,https://en.wikipedia.org/wiki/One_Two_Three,One Two Three,Ashwni Dhir,"Sunil Shetty, Tushar Kapoor, Paresh Rawal, Esha Deol, Neetu Chandra, Sameera Reddy, Upen Patel, Tanishaa",,₹27 crore ,Eros Entertainment,Big Screen Entertainment Pvt. Ltd,E Is A 2008 Indian Hindi-Language Comedy,27.0,10000000,270000000.0
U Me Aur Hum,2008,https://en.wikipedia.org/wiki/U_Me_Aur_Hum,U Me Aur Hum,Ajay Devgn,"Ajay Devgn, Kajol",₹ 25 crore ,₹ 40.02 crore ,Eros International,Devgan Films,008 Indian Hindi-Language Romantic Drama,40.02,10000000,400200000.0
Krazzy 4,2008,https://en.wikipedia.org/wiki/Krazzy_4,Krazzy 4,Jaideep Sen,"Juhi Chawla, Arshad Warsi, Irrfan Khan, Rajpal Yadav, Suresh Menon, Dia Mirza, Rajat Kapoor, Mukesh Rishi",₹ 18 crore ,₹ 32.27 crore ,Yash Raj Films(India)Eros International(International)[2],FilmKraft Productions,08 Indian Hindi-Language Comedy Thriller,32.27,10000000,322700000.0
Tashan,2008,https://en.wikipedia.org/wiki/Tashan_(film),Tashan,Vijay Krishna Acharya,"Akshay Kumar, Saif Ali Khan, Kareena Kapoor, Anil Kapoor",₹ 310 million ,₹ 516.3 million ,Yash Raj Films,Yash Raj Films,2008 Indian Hindi-Language Action Comedy,516.3,1000000,516300000.0
Sirf,2008,https://en.wikipedia.org/wiki/Sirf_(film),Sirf,Rajaatesh Nayar,"Kay Kay Menon, Manisha Koirala, Ranvir Shorey, Sonali Kulkarni",₹ 3 crore ,"₹ 55,50 lakh ",Eros International,,De Is A 2008 Indian Hindi-Language Drama,55.0,100000,5500000.0
Bhoothnath,2008,https://en.wikipedia.org/wiki/Bhoothnath,Bhoothnath,Vivek Sharma,"Amitabh Bachchan, Juhi Chawla, Shah Rukh Khan, Aman Siddiqui, Rajpal Yadav, Priyanshu Chatterjee",₹ 20 crore (equivalent to ₹ 56 crore or US$6.6 million in 2023),₹ 38.8 crore (equivalent to ₹ 108 crore or US$13 million in 2023),Indian Films(India)Eros International(International),B.R. Films,Supernatural Comedy,38.8,10000000,388000000.0
Jimmy,2008,https://en.wikipedia.org/wiki/Jimmy_(2008_film),Jimmy,Raj N. Sippy,"Mimoh Chakraborty, Vivana Singh, Rahul Dev, Prithvi, Vikas Anand",₹ 9 crore ,₹ 1.86 crore ,,High Definition Motion Pictures,Y Is A 2008 Indian Hindi-Language Action,1.86,10000000,18600000.0
Jannat: In Search of Heaven...,2008,https://en.wikipedia.org/wiki/Jannat_(2008_film),Jannat,Kunal Deshmukh,"Emraan Hashmi, Sonal Chauhan",₹ 100 million ,₹ 415 million ,Percept Picture Company,Vishesh Films,008 Indian Hindi-Language Romantic Crime,415.0,1000000,415000000.0
