title,year,wikipedia_url,Title_wiki,Director,Cast,Budget,Box_Office,Distributor,Production,Genre,box_value,multiplier,bo_num
Waah! Tera Kya Kehna,2002,https://en.wikipedia.org/wiki/Waah!_Tera_Kya_Kehna,Waah..! Tera Kya Kehna,Manoj Agrawal,"Govinda, Raveena Tandon, Preeti Jhangiani",,₹ 2.69 cr. ,,,Is A 2002 Indian Hindi-Language Comedy,2.69,10000000,26900000.0
Rishtey,2002,https://en.wikipedia.org/wiki/Rishtey_(film),Rishtey,Indra Kumar,"Anil Kapoor, Karisma Kapoor, Shilpa Shetty",₹ 8.75 crore ,₹ 12.37 crore ,,,2002 Indian Hindi-Language Action Drama,12.37,10000000,123700000.0
Karz: The Burden of Truth,2002,https://en.wikipedia.org/wiki/Karz:_The_Burden_of_Truth,Karz: The Burden of Truth,Harry Baweja,"Sunny Deol, Sunil Shetty, Shilpa Shetty",₹ 11 crore ,₹ 15.57 crore ,Eros International,,2002 Indian Hindi-Language Action Drama,15.57,10000000,155700000.0
Saathiya,2002,https://en.wikipedia.org/wiki/Saathiya_(film),Saathiya,Shaad Ali,"Rani Mukerji, Vivek Oberoi",₹75 million ,₹291 million ,Yash Raj Films,,002 Indian Hindi-Language Romantic Drama,291.0,1000000,291000000.0
Kaante,2002,https://en.wikipedia.org/wiki/Kaante,Kaante,Sanjay Gupta,"Amitabh Bachchan, Sanjay Dutt, Sunil Shetty, Lucky Ali, Mahesh Manjrekar, Kumar Gaurav",₹ 300 million ,₹ 20.8 crore (equivalent to ₹ 79 crore or US$9.4 million in 2023) million ,,,02 Indian Hindi-Language Action Thriller,20.8,10000000,208000000.0
Chalo Ishq Ladaaye,2002,https://en.wikipedia.org/wiki/Chalo_Ishq_Ladaaye,Chalo Ishq Ladaaye,Aziz Sejawal,"Govinda, Rani Mukerji",₹ 40 million ,₹ 17 million ,Goldmines Telefilms,Prathima Films,Is A 2002 Indian Comedy,17.0,1000000,17000000.0
Tujhe Meri Kasam,2003,https://en.wikipedia.org/wiki/Tujhe_Meri_Kasam,Tujhe Meri Kasam,K. Vijaya Bhaskar,"Riteish Deshmukh, Genelia D'Souza, Shriya Saran",₹3.50 crore ,₹14.36 crore (original run) ,"True Entertainment Pvt. Ltd.,Mumbai",Ushakiran Movies,Is A 2003 Hindi-Language Romantic Drama,14.36,10000000,143600000.0
Jism,2003,https://en.wikipedia.org/wiki/Jism_(2003_film),Jism,Amit Saxena,"Bipasha Basu, John Abraham, Gulshan Grover",₹ 32.5 million,₹ 134.1 million ,T-Series,Vishesh Films,03 Indian Hindi-Language Erotic Thriller,134.1,1000000,134100000.0
Dil Ka Rishta,2003,https://en.wikipedia.org/wiki/Dil_Ka_Rishta,Dil Ka Rishta,Naresh Malhotra,"Raakhee, Aishwarya Rai, Arjun Rampal, Isha Koppikar, Paresh Rawal",₹8.25 crore ,₹14.6 crore ,Tips Music Films,,Is A 2003 Indian Hindi-Language Romance,14.6,10000000,146000000.0
Kucch To Hai,2003,https://en.wikipedia.org/wiki/Kucch_To_Hai,Kucch To Hai,Anurag BasuAnil V. Kumar,"Tusshar Kapoor, Esha Deol, Anita Hassanandani, Yash Tonk, Rishi Kapoor",₹7 crore ,₹11 crore ,Disney UTV,Balaji Films Ltd.,Is A 2003 Indian Hindi-Language Slasher,11.0,10000000,110000000.0
Dum,2003,https://en.wikipedia.org/wiki/Dum_(2003_Hindi_film),Dum,Eeshwar Nivas,"Vivek Oberoi, Diya Mirza, Atul Kulkarni, Govind Namdeo, Mukesh Rishi, Yashpal Sharma, Sushant Singh",₹ 7.75 crore ,₹ 9.07 crore ,,,Is A 2003 Indian Hindi-Language Action,9.07,10000000,90700000.0
Baaz: A Bird in Danger,2003,https://en.wikipedia.org/wiki/Baaz:_A_Bird_in_Danger,Baaz: A Bird in Danger,Tinu Verma,"Sunil Shetty, Jackie Shroff, Karishma Kapoor, Dino Morea, Preeti Jhangiani",,₹4.8 crore ,Kapishek Films,,Psychological Thriller,4.8,10000000,48000000.0
Escape from Taliban,2003,https://en.wikipedia.org/wiki/Escape_from_Taliban,Escape from Taliban,Ujjwal Chatterjee,"Manisha Koirala, Nawab Shah",₹ 3.50 crore ,₹ 1.44 crore ,,,Escape From Taliban Is A 2003 Indian,1.44,10000000,14400000.0
Love at Times Square,2003,https://en.wikipedia.org/wiki/Love_at_Times_Square,Love at Times Square,Dev Anand,"Dev Anand, Shoib Khan, Heene Kaushik, Chaitanya Choudhury, Satish Shah, Ketki Dave, Ashish Vidyarthi, Vikram Gokhale",₹ 2.50 crore ,₹ 29.88 lakh ,T-Series,,Love At Times Square Is A 2003 Indian,29.88,100000,2988000.0
Kash... Aap Hamare Hote,2003,https://en.wikipedia.org/wiki/Kash_Aap_Hamare_Hote,Kash… Aap Hamare Hote,Ravindra Peepat,"Sonu Nigam, Juhi Babbar",₹ 5 crore ,₹ 1.64 crore ,Goldmines Telefilms,Babbars Films,Is A 2003 Indian Hindi-Language Drama,1.64,10000000,16400000.0
The Hero: Love Story of a Spy,2003,https://en.wikipedia.org/wiki/The_Hero:_Love_Story_of_a_Spy,The Hero: Love Story of a Spy,Anil Sharma,"Sunny Deol, Preity Zinta, Priyanka Chopra, Amrish Puri, Kabir Bedi",₹ 35 crore ,₹ 45.13 crore ,Time Magnetics (India) Pvt. Ltd.,,Spy Is A 2003 Indian Hindi-Language Spy,45.13,10000000,451300000.0
Pran Jaaye Par Shaan Na Jaaye,2003,https://en.wikipedia.org/wiki/Praan_Jaye_Par_Shaan_Na_Jaye,Praan Jaye Parr Shaan Na Jaye,Sanjay Jha,"Aman Verma, Rinke Khanna, Dia Mirza, Raveena Tandon, Bharat Jadhav",₹ 3.25 crore ,₹ 2.35 crore ,,,2003 Indian Hindi-Language Black Comedy,2.35,10000000,23500000.0
Ishq Vishk,2003,https://en.wikipedia.org/wiki/Ishq_Vishk,Ishq Vishk,Ken Ghosh,"Shahid Kapoor, Amrita Rao, Shenaz Treasurywala, Vishal Malhotra",₹ 50 million ,₹ 122.63 million ,Tips Industries(India)UTV Motion Pictures(International),Tips Industries,Teen Romantic Comedy,122.63,1000000,122630000.0
Armaan,2003,https://en.wikipedia.org/wiki/Armaan_(2003_film),Armaan,Honey Irani,"Amitabh Bachchan, Anil Kapoor, Preity Zinta, Gracy Singh, Randhir Kapoor",₹ 100 million ,₹ 149.2 million ,Eros Entertainment,Aarti Enterprises,2003 Indian Hindi-Language Medical Drama,149.2,1000000,149200000.0
Andaaz,2003,https://en.wikipedia.org/wiki/Andaaz,Andaaz,Raj Kanwar,"Akshay Kumar, Lara Dutta, Priyanka Chopra",₹ 9.25 crore ,₹ 28.81 crore ,,Shree Krishna International,3 Indian Hindi-Language Romantic Musical,28.81,10000000,288100000.0
Bhoot,2003,https://en.wikipedia.org/wiki/Bhoot_(film),Bhoot,Ram Gopal Varma,"Ajay Devgn, Urmila Matondkar, Nana Patekar, Rekha, Tanuja, Fardeen Khan",₹67 million ,₹239 million ,,,Supernatural Horror,239.0,1000000,239000000.0
Jajantaram Mamantaram,2003,https://en.wikipedia.org/wiki/Jajantaram_Mamantaram,Jajantaram Mamantaram,Soumitra Ranade,"Jaaved Jaffrey, Gulshan Grover",₹8.5 crore ,₹5.7 crore ,,iDream Production,M Is A 2003 Indian Fantasy Action Comedy,5.7,10000000,57000000.0
Koi Hai,2003,https://en.wikipedia.org/wiki/Koi..._Mil_Gaya,Koi... Mil Gaya,Rakesh Roshan,"Rekha, Hrithik Roshan, Preity Zinta",₹ 35 crore ,₹ 85.3 crore ,Yash Raj Films,Filmkraft Productions,2003 Indian Science Fiction Action Drama,85.3,10000000,853000000.0
Chalte Chalte,2003,https://en.wikipedia.org/wiki/Chalte_Chalte_(2003_film),Chalte Chalte,Aziz Mirza,"Shah Rukh Khan, Rani Mukerji",₹ 11 crore (equivalent to ₹ 40 crore or US$4.8 million in 2023) ,₹ 43.28 crore (equivalent to ₹ 159 crore or US$19 million in 2023) ,UTV Motion Pictures,Dreamz Unlimited,003 Indian Hindi-Language Romantic Drama,43.28,10000000,432800000.0
Supari,2003,https://en.wikipedia.org/wiki/Supari_(film),Supari,Padam Kumar,"Uday Chopra, Rahul Dev, Nandita Das, Purab Kohli, Nauheed Cyrusi, Irrfan Khan",₹ 4.25 crore ,₹ 2.65 crore ,Yash Raj Films,,Is A 2003 Indian Hindi-Language Action,2.65,10000000,26500000.0
Main Prem Ki Diwani Hoon,2003,https://en.wikipedia.org/wiki/Main_Prem_Ki_Diwani_Hoon,Main Prem Ki Diwani Hoon,Sooraj Barjatya,"Hrithik Roshan, Kareena Kapoor, Abhishek Bachchan",₹240 million ,₹393.1 million ,Yash Raj Films[1],Rajshri Productions,03 Indian Hindi-Language Musical Romance,393.1,1000000,393100000.0
Calcutta Mail,2003,https://en.wikipedia.org/wiki/Calcutta_Mail,Calcutta Mail,Sudhir Mishra,"Anil Kapoor, Rani Mukerji, Manisha Koirala",₹ 5.75 crore ,₹ 4.34 crore ,,Siri Media Arts,03 Indian Hindi-Language Action Thriller,4.34,10000000,43400000.0
Hawa,2003,https://en.wikipedia.org/wiki/Hawa_(2003_film),Hawa,Guddu Dhanoa,"Tabu, Shahbaz Khan, Mukesh Tiwari, Hansika",₹ 3 crore ,₹ 5.89 crore ,,,Is A 2003 Indian Hindi-Language Horror,5.89,10000000,58900000.0
Darna Mana Hai,2003,https://en.wikipedia.org/wiki/Darna_Mana_Hai,Darna Mana Hai,Prawaal Raman,"Nana Patekar, Vivek Oberoi, Saif Ali Khan, Boman Irani, Sanjay Kapoor, Shilpa Shetty, Sohail Khan, Antara Mali, Sameera Reddy, Rajpal Yadav, Aftab Shivdasani, Isha Koppikar, Peeya Rai Chowdhary, Revathi, Raghuvir Yadav, Gaurav Kapur, Kiku Sharda, Abir Goswami",₹ 4.50 crore ,₹ 9 crore ,K Sera Sera Productions,,3 Indian Hindi-Language Anthology Horror,9.0,10000000,90000000.0
Hungama,2003,https://en.wikipedia.org/wiki/Hungama_(2003_film),Hungama,Priyadarshan,"Akshaye Khanna, Aftab Shivdasani, Paresh Rawal, Rimi Sen, Shakti Kapoor, Rajpal Yadav, Tiku Talsania, Shoma Anand",₹ 6.4 crore ,₹ 21.25 crore ,Venus Entertainment,Venus Records & Tapes,Comedy Romance Drama,21.25,10000000,212500000.0
Chori Chori,2003,https://en.wikipedia.org/wiki/Chori_Chori_(2003_film),Chori Chori,Milan Luthria,"Ajay Devgn, Rani Mukerji, Sonali Bendre",,₹ 5.64 crore ,,Amit Arts,Romantic Comedy-Drama,5.64,10000000,56400000.0
Koi... Mil Gaya,2003,https://en.wikipedia.org/wiki/Koi..._Mil_Gaya,Koi... Mil Gaya,Rakesh Roshan,"Rekha, Hrithik Roshan, Preity Zinta",₹ 35 crore ,₹ 85.3 crore ,Yash Raj Films,Filmkraft Productions,2003 Indian Science Fiction Action Drama,85.3,10000000,853000000.0
Footpath,2003,https://en.wikipedia.org/wiki/Footpath_(2003_film),Footpath,Vikram Bhatt,"Emraan Hashmi, Aftab Shivdasani, Irrfan Khan, Bipasha Basu, Rahul Dev",₹5.5 crore ,₹6.43 crore ,Tips IndustriesDisney India Studios,,2003 Indian Hindi-Language Action Drama,6.43,10000000,64300000.0
Kuch Naa Kaho,2003,https://en.wikipedia.org/wiki/Kuch_Naa_Kaho,Kuch Naa Kaho,Rohan Sippy,"Aishwarya Rai, Abhishek Bachchan, Arbaaz Khan",₹8 crore ,₹13.08 crore ,Ramesh Sippy Entertainment,,003 Indian Hindi-Language Romantic Drama,13.08,10000000,130800000.0
Gangaajal,2003,https://en.wikipedia.org/wiki/Gangaajal,Gangaajal,Prakash Jha,"Ajay Devgn, Gracy Singh, Mohan Joshi, Mukesh Tiwari, Yashpal Sharma",₹ 4.5 crore ,₹ 16.67 crore ,,,A 2003 Indian Hindi-Language Crime Drama,16.67,10000000,166700000.0
2 October,2003,https://en.wikipedia.org/wiki/2_October_(film),2 October,Sunil Tiwari,"Ashutosh Rana, Sharat Saxena, Saadhika Randhawa, Mukesh Tiwari, Shivaji Satam, Avtar Gill, Makarand Deshpande, Achyut Potdar, Sonia Sahni",,₹12.25 lakh (India) ,Sarthak Movies,,03 Indian Hindi-Language Action Thriller,12.25,100000,1225000.0
Rangeela Raja,2019,https://en.wikipedia.org/wiki/Rangeela_Raja,Rangeela Raja,Sikander Bharti,"Govinda, Mishika Chourasia, Anupama Agnihotri, Digangana Suryavanshi",₹ 19 crore ($2.4 million) ,"₹ 18 lakh ($23,000) ",Chiragdeep International,Chiragdeep International,Is A 2019 Indian Hindi-Language Comedy,18.0,100000,1800000.0
Manikarnika: The Queen of Jhansi,2019,https://en.wikipedia.org/wiki/Manikarnika:_The_Queen_of_Jhansi,Manikarnika: The Queen of Jhansi,Krish JagarlamudiKangana Ranaut[1],"Kangana Ranaut, Jisshu Sengupta, Mohammed Zeeshan Ayyub, Ankita Lokhande",₹ 99–125 crore ,est. ₹ 132.95 crore ,Zee Studios,,Pic Historical Biographical Action Drama,132.95,10000000,1329500000.0
Thackeray,2019,https://en.wikipedia.org/wiki/Thackeray_(film),Thackeray,Abhijit Panse,"Nawazuddin Siddiqui, Amrita Rao",₹ 30 crore ,est. ₹ 31.6 crore ,Viacom18 Motion Pictures,,Thackeray Is A 2019 Indian Biographical,31.6,10000000,316000000.0
Photograph,2019,https://en.wikipedia.org/wiki/Photograph_(film),Photograph,Ritesh Batra,"Nawazuddin Siddiqui, Sanya Malhotra",,est. ₹ 1.29 crore (India) ,"AA Films(India)Amazon Studios(United States, India and Japan)NFP Marketing and Distribution[1](Germany)",,Otograph Is A 2019 Indian Romantic Drama,1.29,10000000,12900000.0
Aaina,2019,https://en.wikipedia.org/wiki/Kabir_Singh,Kabir Singh,Sandeep Reddy Vanga,"Shahid Kapoor, Kiara Advani",₹ 60 crore ,₹ 379 crore ,AA Films,,019 Indian Hindi-Language Romantic Drama,379.0,10000000,3790000000.0
Ek Ladki Ko Dekha Toh Aisa Laga,2019,https://en.wikipedia.org/wiki/Ek_Ladki_Ko_Dekha_Toh_Aisa_Laga,Ek Ladki Ko Dekha Toh Aisa Laga,Shelly Chopra Dhar,"Anil Kapoor, Sonam Kapoor, Rajkummar Rao, Juhi Chawla, Regina Cassandra, Akshay Oberoi",₹ 300 million ,est. ₹ 398.6 million ,Fox Star Studios,Vinod Chopra Films,Coming-Of-Age Romantic Comedy-Drama,398.6,1000000,398600000.0
Amavas,2019,https://en.wikipedia.org/wiki/Luka_Chuppi,Luka Chuppi,Laxman Utekar,"Kartik Aaryan, Kriti Sanon",₹25 crore ,est. ₹128.6 crore ,AA Films,,19 Indian Hindi-Language Romantic Comedy,128.6,10000000,1286000000.0
Gully Boy,2019,https://en.wikipedia.org/wiki/Gully_Boy,Gully Boy,Zoya Akhtar,"Ranveer Singh, Alia Bhatt, Siddhant Chaturvedi",₹ 60–70 crore ,est. ₹ 238.16 crore ,Cinestaan AA Distributors,,2019 Indian Hindi-Language Musical Drama,238.16,10000000,2381600000.0
Total Dhamaal,2019,https://en.wikipedia.org/wiki/Total_Dhamaal,Total Dhamaal,Indra Kumar,"Ajay Devgn, Anil Kapoor, Madhuri Dixit, Riteish Deshmukh, Arshad Warsi, Jaaved Jaffrey, Johnny Lever, Sanjay Mishra, Boman Irani",₹90–100 crore ,"₹228.27
 crore ",Fox Star Studios,,9 Indian Hindi-Language Adventure Comedy,228.27,10000000,2282700000.0
Luka Chuppi,2019,https://en.wikipedia.org/wiki/Luka_Chuppi,Luka Chuppi,Laxman Utekar,"Kartik Aaryan, Kriti Sanon",₹25 crore ,est. ₹128.6 crore ,AA Films,,19 Indian Hindi-Language Romantic Comedy,128.6,10000000,1286000000.0
Sonchiriya,2019,https://en.wikipedia.org/wiki/Sonchiriya,Sonchidiya,Abhishek Chaubey,"Manoj Bajpayee, Sushant Singh Rajput, Bhumi Pednekar, Ashutosh Rana, Ranvir Shorey",₹ 22 crore ,est. ₹ 10.42  crore ,RSVP Movies,,Is A 2019 Indian Hindi-Language  Action,10.42,10000000,104200000.0
Badla,2019,https://en.wikipedia.org/wiki/Badla_(2019_film),Badla,Sujoy Ghosh,"Amitabh Bachchan, Taapsee Pannu, Amrita Singh",₹ 100 million ,est. ₹ 1.385 billion ,AA Films,,9 Indian Hindi-Language Mystery Thriller,1.385,1000000000,1385000000.0
College Fukrey,2019,https://en.wikipedia.org/wiki/Fukrey,Fukrey,Mrighdeep Singh Lamba,"Pulkit Samrat, Manjot Singh, Ali Fazal, Varun Sharma, Priya Anand, Vishakha Singh, Pankaj Tripathi, Richa Chadda",₹ 8 crore ,₹ 53 crore ,AA Films,Excel Entertainment,13 Indian Hindi-Language Comedy Thriller,53.0,10000000,530000000.0
Milan Talkies,2019,https://en.wikipedia.org/wiki/Milan_Talkies,Milan Talkies,Tigmanshu Dhulia,"Ali Fazal, Shraddha Srinath, Ashutosh Rana, Reecha Sinha, Sanjay Mishra, Sikandar Kher",,est. 23.4 Crores  (INR) ,Zee Studios,,019 Indian Hindi-Language Romantic Drama,23.4,10000000,234000000.0
Kesari,2019,https://en.wikipedia.org/wiki/Kesari_(2019_film),Kesari,Anurag Singh,"Akshay Kumar, Parineeti Chopra",,₹ 207.09 crore ,Zee Studios,,Historical War Action,207.09,10000000,2070900000.0
Junglee,2019,https://en.wikipedia.org/wiki/Junglee_(2019_film),Junglee,Chuck Russell,"Vidyut Jammwal, Pooja Sawant, Asha Bhat, Atul Kulkarni",₹ 22 crore ,est. ₹ 24.70 crore ,AA Films,Junglee Pictures,9 Indian Hindi-Language Action Adventure,24.7,10000000,247000000.0
Notebook,2019,https://en.wikipedia.org/wiki/Notebook_(2019_film),Notebook,Nitin Kakkar,"Zaheer Iqbal, Pranutan Bahl",₹ 15 crore ,est. ₹ 3.72 crores ,Salman Khan Films,,019 Indian Hindi-Language Romantic Drama,3.72,10000000,37200000.0
Romeo Akbar Walter,2019,https://en.wikipedia.org/wiki/Romeo_Akbar_Walter,Romeo Akbar Walter,Robbie Grewal,"John Abraham, Mouni Roy, Jackie Shroff, Sikandar Kher",₹ 35 crore ,est. ₹ 53.48 crore ,,,Spy Action Thriller,53.48,10000000,534800000.0
PM Narendra Modi,2019,https://en.wikipedia.org/wiki/PM_Narendra_Modi,PM Narendra Modi,Omung Kumar,"Vivek Oberoi, Zarina Wahab",₹8 crore ,₹28.51 crores,Panorama StudiosAnand Pandit Motion Pictures[1],,A 2019 Hindi-Language Biographical Drama,28.51,10000000,285100000.0
The Tashkent Files,2019,https://en.wikipedia.org/wiki/The_Tashkent_Files,The Tashkent Files,Vivek Agnihotri,"Mithun Chakraborty, Naseeruddin Shah, Shweta Basu Prasad, Pankaj Tripathi, Mandira Bedi, Pallavi Joshi, Rajesh Sharma",₹7.5 crore ,est. ₹20.84 crore ,Zee Studios,,Is A 2019 Indian Hindi-Language Thriller,20.84,10000000,208400000.0
Kalank,2019,https://en.wikipedia.org/wiki/Kalank,Kalank,Abhishek Varman,"Varun Dhawan, Alia Bhatt, Aditya Roy Kapoor, Sonakshi Sinha, Madhuri Dixit, Sanjay Dutt",₹130 crore ,est. ₹ 146.31 crore ,Fox Star Studios[2],,Period Romantic Drama,146.31,10000000,1463100000.0
Blank,2019,https://en.wikipedia.org/wiki/Blank_(2019_film),Blank,Behzad Khambata,"Sunny Deol, Karan Kapadia, Karanvir Sharma, Ishita Dutta",,est. ₹ 5.15 crore ,,,19 Indian Hindi-Language Action Thriller,5.15,10000000,51500000.0
Student of the Year 2,2019,https://en.wikipedia.org/wiki/Student_of_the_Year_2,Student of the Year 2,Punit Malhotra,"Tiger Shroff, Tara Sutaria, Ananya Panday, Aditya Seal",₹ 65 crore ,est. ₹ 98.16 crore ,Fox Star Studios,Dharma Productions,Teen Romantic Sports Comedy,98.16,10000000,981600000.0
Chhota Bheem Kung Fu Dhamaka,2019,https://en.wikipedia.org/wiki/Chhota_Bheem:_Kung_Fu_Dhamaka,Chhota Bheem Kung Fu Dhamaka,Rajiv Chilaka,,,"₹ 3.65 crore (US$430,000) ",Yash Raj Films(India),Green Gold Animations[1],A Is A 2019 Indian Animated Martial Arts,3.65,10000000,36500000.0
De De Pyaar De,2019,https://en.wikipedia.org/wiki/De_De_Pyaar_De,De De Pyaar De,Akiv Ali,"Ajay Devgn, Tabu, Rakul Preet Singh, Javed Jaffrey, Jimmy Sheirgill, Alok Nath, Kumud Mishra",₹ 50 crore ,₹ 143 crore ,AA FilmsYash Raj Films(Overseas),,19 Indian Hindi-Language Romantic Comedy,143.0,10000000,1430000000.0
Bharat,2019,https://en.wikipedia.org/wiki/Bharat_(film),Bharat,Ali Abbas Zafar,"Salman Khan, Katrina Kaif, Disha Patani, Sunil Grover, Jackie Shroff",₹ 100 crore ,₹325.58 crore ,AA Films,,Is A 2019 Indian Hindi-Language Drama,325.58,10000000,3255800000.0
Parinda,2019,https://en.wikipedia.org/wiki/Parinda,Parinda,Vidhu Vinod Chopra,"Jackie Shroff, Anil Kapoor, Nana Patekar, Madhuri Dixit",₹ 12 lakh ,₹ 9 crore ,,Vinod Chopra Productions,989 Indian Hindi-Language Crime Thriller,9.0,10000000,90000000.0
Kabir Singh,2019,https://en.wikipedia.org/wiki/Kabir_Singh,Kabir Singh,Sandeep Reddy Vanga,"Shahid Kapoor, Kiara Advani",₹ 60 crore ,₹ 379 crore ,AA Films,,019 Indian Hindi-Language Romantic Drama,379.0,10000000,3790000000.0
Article 15,2019,https://en.wikipedia.org/wiki/Article_15_(film),Article 15,Anubhav Sinha,"Ayushmann Khurrana, Nassar, Manoj Pahwa, Kumud Mishra, Isha Talwar, Sayani Gupta, Mohammed Zeeshan Ayyub",₹ 30 crore (US$3.5 million) ,est. ₹ 93.08 crore (US$11 million) ,Zee Studios,,A 2019 Indian Hindi-Language Crime Drama,93.08,10000000,930800000.0
The Great Indian Escape,2019,https://en.wikipedia.org/wiki/Indian_2,Indian 2,S. Shankar,"Kamal Haasan, Siddharth, S. J. Suryah, Rakul Preet Singh, Priya Bhavani Shankar, Vivek","₹ 250–300 
crore ",est. ₹ 151 crore ,see below,,Tamil-Language Vigilante-Action Thriller,151.0,10000000,1510000000.0
One Day: Justice Delivered,2019,https://en.wikipedia.org/wiki/One_Day:_Justice_Delivered,One Day: Justice Delivered,Ashok Nanda,"Anupam Kher, Esha Gupta, Kumud Mishra, Nasir Khan, Anusmriti Sarkar, Parikshit Sahni",,est. ₹ 4.68 crore (worldwide) ,T-Series(music)Netflix,,19 Indian Hindi-Language Action Thriller,4.68,10000000,46800000.0
Malaal,2019,https://en.wikipedia.org/wiki/Malaal_(film),Malaal,Mangesh Hadawale,"Meezaan Jafri, Sharmin Segal",,est. ₹ 2.50 crore ,,,019 Indian Hindi-Language Romantic Drama,2.5,10000000,25000000.0
Super 30,2019,https://en.wikipedia.org/wiki/Super_30_(film),Super 30,Vikas Bahl,"Hrithik Roshan, Mrunal Thakur, Nandish Sandhu, Virendra Saxena, Pankaj Tripathi, Aditya Srivastava, Amit Sadh",₹60 crore ,₹208.93 crore ,Reliance Entertainment,,Biographical Drama,208.93,10000000,2089300000.0
Jhootha Kahin Ka,2019,https://en.wikipedia.org/wiki/Jhootha_Kahin_Ka,Jhootha Kahin Ka,Smeep Kang,"Rishi Kapoor, Jimmy Sheirgill, Lillete Dubey, Sunny Singh, Omkar Kapoor, Manoj Joshi, Nimisha Mehta, Pujita Ponnada",,est. ₹ 2.57 crore ,Soham Rockstar Entertainment,,2019 Indian Hindi-Language Comedy Drama,2.57,10000000,25700000.0
Family of Thakurganj,2019,https://en.wikipedia.org/wiki/Family_of_Thakurganj,Family Of Thakurganj,Manoj K. Jha,"Jimmy Sheirgill, Mahie Gill, Saurabh Shukla, Sudhir Pandey, Supriya Pilgaonkar, Pavan Malhotra, Nandish Sandhu, Yashpal Sharma, Pranati Rai Prakash, Manoj Pahwa, Mukesh Tiwari, Mayank Narayan",,est. ₹ 15 Crore ,Pen Marudhar Entertainment,Lovely World Entertainment,Hindi-Language Action Drama,15.0,10000000,150000000.0
Lihaaf: The Quilt,2019,https://en.wikipedia.org/wiki/Fire_(1996_film),Fire,Deepa Mehta,"Nandita Das, Shabana Azmi","$800,000","$501,533 ",Zeitgeist Films,,1996 Indo-Canadian Erotic Romantic Drama,501.0,1,501.0
Mental Hai Kya,2019,https://en.wikipedia.org/wiki/Judgementall_Hai_Kya,Judgementall Hai Kya,Prakash Kovelamudi,"Kangana Ranaut, Rajkummar Rao",₹ 29–50 crore ,est. ₹ 44.92 crore ,Pen Marudhar Cine Entertainment[1],,The,44.92,10000000,449200000.0
Arjun Patiala,2019,https://en.wikipedia.org/wiki/Arjun_Patiala,Arjun Patiala,Rohit Jugraj,"Diljit Dosanjh, Kriti Sanon, Varun Sharma",₹ 25 crore ,est. ₹ 9.26 crore ,AA Films,,Action Spoof Comedy,9.26,10000000,92600000.0
Ghost,2019,https://en.wikipedia.org/wiki/Ghost_(2019_film),Ghost,Vikram Bhatt,"Gayathiri Iyer, Sanaya Irani, Shivam Bhaargava",,est. ₹ 1.82 crore ,Pen Marudhar Cine Entertainment,,Ghost Is A 2019 Indian Horror Thriller,1.82,10000000,18200000.0
Khandaani Shafakhana,2019,https://en.wikipedia.org/wiki/Khandaani_Shafakhana,Khandaani Shafakhana,Shilpi Dasgupta,"Sonakshi Sinha, Varun Sharma, Annu Kapoor, Badshah",₹24 crore ,est. ₹3.98 crore ,Panorama Studios,,2019 Indian Hindi-Language Comedy-Drama,3.98,10000000,39800000.0
Jabariya Jodi,2019,https://en.wikipedia.org/wiki/Jabariya_Jodi,Jabariya Jodi,Prashant Singh,"Sidharth Malhotra, Parineeti Chopra",₹ 29 crore ,₹ 21.13 crore ,Zee Studios(International)Pen Marudhar Entertainment[1],,N  Indian Hindi-Language Romantic Comedy,21.13,10000000,211300000.0
Surya IPS,2019,https://en.wikipedia.org/wiki/Naa_Peru_Surya,Naa Peru Surya,Vakkantham Vamsi,"Allu Arjun, Arjun Sarja, R. Sarathkumar, Anu Emmanuel",₹55 crore ,est. ₹ 100.52 crore ,Anjana Productions,Ramalakshmi Cine Creations,Is A 2018 Indian Telugu-Language Action,100.52,10000000,1005200000.0
Mission Mangal,2019,https://en.wikipedia.org/wiki/Mission_Mangal,Mission Mangal,Jagan Shakti,"Akshay Kumar, Vidya Balan, Sonakshi Sinha, Taapsee Pannu, Nithya Menen, Kirti Kulhari, Sharman Joshi",₹ 40 crore ,₹ 290.59 crore ,Fox Star Studios,,Is A 2019 Indian Drama,290.59,10000000,2905900000.0
Batla House,2019,https://en.wikipedia.org/wiki/Batla_House,Batla House,Nikkhil Advani,"John Abraham, Mrunal Thakur, Ravi Kishan",₹ 56 crore ,₹ 113.38 crore ,Cinestaan AA DistributorsPanorama StudiosAnand PanditMotion Pictures,,19 Indian Hindi-Language Action Thriller,113.38,10000000,1133800000.0
Saaho,2019,https://en.wikipedia.org/wiki/Saaho,Saaho,Sujeeth,"Prabhas, Shraddha Kapoor, Chunky Pandey, Jackie Shroff, Arun Vijay, Neil Nitin Mukesh",₹ 325 crore ,est. ₹ 419–439  crore ,AA FilmsYash Raj FilmsPhars Film,,Is A 2019 Indian Action Thriller,419.0,10000000,4190000000.0
Dream Girl,2019,https://en.wikipedia.org/wiki/Dream_Girl_(2019_film),Dream Girl,Raaj Shaandilyaa,"Ayushmann Khurrana, Nushrratt Bharuccha",₹ 28 crore ,est. ₹ 200.8 crore ,Pen Marudhar Entertainment[1],,2019 Indian Hindi-Language Comedy-Drama,200.8,10000000,2008000000.0
