title,year,wikipedia_url
Mera Qasoor Kya Hai,1964,https://en.wikipedia.org/wiki/Mera_Qasoor_Kya_Hai
Tarzan and the Mermaid,1964,
Himalay Ki Godmein,1965,https://en.wikipedia.org/wiki/Himalay_Ki_God_Mein
Janwar,1965,https://en.wikipedia.org/wiki/Janwar_(1965_film)
Shaheed,1965,https://en.wikipedia.org/wiki/23rd_March_1931:_Shaheed
Sikandar E Azam,1965,https://en.wikipedia.org/wiki/List_of_Hindi_films_of_1965
Adhi Raat Ke Baad,1965,
Bharat Milap,1965,https://en.wikipedia.org/wiki/Bharat_Milap
Teen Sardar,1965,
Dak Ghar,1965,https://en.wikipedia.org/wiki/Dak_Ghar
Panch Ratan,1965,https://en.wikipedia.org/wiki/Tiger_Joginder_Singh
Tarzan and the Circus,1965,
Arzoo,1965,https://en.wikipedia.org/wiki/Arzoo_(1965_film)
Geet Gaaya Pattharon Ne,1965,
Guide,1965,https://en.wikipedia.org/wiki/Guide_(film)
Gumnaam,1965,https://en.wikipedia.org/wiki/Gumnaam
Johar-Mehmood in Goa,1965,https://en.wikipedia.org/wiki/Johar-Mehmood_in_Goa
Waqt,1965,https://en.wikipedia.org/wiki/Waqt_(1965_film)
Bheegi Raat,1965,https://en.wikipedia.org/wiki/Bheegi_Raat
Chand Aur Suraj,1965,https://en.wikipedia.org/wiki/Chand_Aur_Suraj
Oonche Log,1965,https://en.wikipedia.org/wiki/Oonche_Log_(1965_film)
Khandan,1965,https://en.wikipedia.org/wiki/Khandan_(1965_film)
Tu Hi Meri Zindagi,1965,
Jab Jab Phool Khile,1965,https://en.wikipedia.org/wiki/Jab_Jab_Phool_Khile
Tarzan and King Kong,1965,https://en.wikipedia.org/wiki/King_Kong_(franchise)
Mere Sanam,1965,https://en.wikipedia.org/wiki/Mere_Sanam
Teen Devian,1965,https://en.wikipedia.org/wiki/Teen_Devian
Teesra Kaun,1965,https://en.wikipedia.org/wiki/Teesra_Kaun_(1965_film)
Kaajal,1965,https://en.wikipedia.org/wiki/Kaajal
Bhoot Bungla,1965,https://en.wikipedia.org/wiki/Bhoot_Bungla
Hum Sab Ustad Hain,1965,https://en.wikipedia.org/wiki/Hum_Sab_Ustad_Hain
Shreeman Funtoosh,1965,https://en.wikipedia.org/wiki/Shreeman_Funtoosh
Mohabbat Isko Kahete Hain,1965,
Mahabharat,1965,https://en.wikipedia.org/wiki/Mahabharat_(1965_film)
Purnima,1965,https://en.wikipedia.org/wiki/Purnima_(film)
Ek Sapera Ek Lutera,1965,https://en.wikipedia.org/wiki/List_of_film_songs_based_on_ragas
Neela Akash,1965,
Faraar,1965,https://en.wikipedia.org/wiki/Faraar
Akashdeep,1965,https://en.wikipedia.org/wiki/Akashdeep
Noor Mahal,1965,
Bahu Beti,1965,https://en.wikipedia.org/wiki/Bahu_Beti
Nai Umar Ki Nai Fasal,1965,https://en.wikipedia.org/wiki/Nai_Umar_Ki_Nai_Fasal
Sangram,1965,https://en.wikipedia.org/wiki/List_of_Hindi_films_of_1965
Tarzan Comes to Delhi,1965,
Poonam Ki Raat,1965,https://en.wikipedia.org/wiki/Bheegi_Raat
Gopal - Krishna,1965,
Nishan,1965,https://en.wikipedia.org/wiki/Nishan_(1965_film)
Jadui Angoothi,1965,https://en.wikipedia.org/wiki/List_of_Hindi_films_of_1965
Rishte Naahte,1965,https://en.wikipedia.org/wiki/Rishte_Naate
Jahan Sati Wahan Bhagwan,1965,https://en.wikipedia.org/wiki/List_of_Hindi_films_of_1965
Chhoti Chhoti Baatein,1965,https://en.wikipedia.org/wiki/Chhoti_Chhoti_Baten
Shri Ram Bharat Milap,1965,
Bedaag,1965,https://en.wikipedia.org/wiki/List_of_Hindi_films_of_1965
Naya Kanoon,1965,https://en.wikipedia.org/wiki/Naya_Kanoon
Faisla,1965,https://en.wikipedia.org/wiki/List_of_Hindi_films_of_1965
Shankar Sita Ansuya,1965,
Bombay Race Course,1965,https://en.wikipedia.org/wiki/Naya_Kanoon
Mera Saaya,1966,https://en.wikipedia.org/wiki/Mera_Saaya
Gaban,1966,https://en.wikipedia.org/wiki/Gaban_(film)
Alibaba and 40 Thieves,1966,https://en.wikipedia.org/wiki/Ali_Baba_and_the_Forty_Thieves
Gogola,1966,https://en.wikipedia.org/wiki/Gogola_(film)
Johar in Kashmir,1966,
Shankar Khan,1966,https://en.wikipedia.org/wiki/Faisal_Khan
Duniya Hai Dilwalon Ki,1966,https://en.wikipedia.org/wiki/Pyar_Kiye_Jaa
Sarhadi Lutera,1966,
Tarzan and the Magical Lamp,1966,
Afsana,1966,https://en.wikipedia.org/wiki/Padmini_(actress)
Tarzan and Hercules,1966,https://en.wikipedia.org/wiki/Peter_Lupus
"Tarzan, My Beloved",1966,
Anupama,1966,https://en.wikipedia.org/wiki/Anupama_(1966_film)
Mamta,1966,https://en.wikipedia.org/wiki/Mamta_(1966_film)
Suraj,1966,https://en.wikipedia.org/wiki/Suraj_(film)
Do Dil,1966,
Sawan Ki Ghata,1966,
Pyar Kiye Jaa,1970,https://en.wikipedia.org/wiki/Kadhalikka_Neramillai
Phool Aur Patthar,1966,https://en.wikipedia.org/wiki/Phool_Aur_Patthar
Amrapali,1966,https://en.wikipedia.org/wiki/Amrapali_(film)
Tasveer,1966,https://en.wikipedia.org/wiki/List_of_Hindi_films_of_1966
Teesri Manzil,1966,https://en.wikipedia.org/wiki/Teesri_Manzil
Aaye Din Bahar Ke,1966,https://en.wikipedia.org/wiki/Aaye_Din_Bahar_Ke
Dil Diya Dard Liya,1966,https://en.wikipedia.org/wiki/Dil_Diya_Dard_Liya
Biradari,1966,https://en.wikipedia.org/wiki/List_of_Hindi_films_of_1966
Baharen Phir Bhi Aayengi,1966,https://en.wikipedia.org/wiki/Baharen_Phir_Bhi_Aayengi
Devar,1966,https://en.wikipedia.org/wiki/Devar
Ladka Ladki,1966,https://en.wikipedia.org/wiki/Ladka_Ladki
Love in Tokyo,1966,https://en.wikipedia.org/wiki/Love_in_Tokyo
Biwi Aur Makan,1966,https://en.wikipedia.org/wiki/Biwi_Aur_Makan
Do Badan,1966,https://en.wikipedia.org/wiki/Do_Badan
Aakhri Khat,1966,https://en.wikipedia.org/wiki/Aakhri_Khat
Badal,1966,https://en.wikipedia.org/wiki/Badal_(disambiguation)
Yeh Zindagi Kitni Haseen Hai,1966,https://en.wikipedia.org/wiki/Yeh_Zindagi_Kitni_Haseen_Hai
Lal Bangla,1966,https://en.wikipedia.org/wiki/Sujit_Kumar
Mohabbat Zindagi Hai,1966,https://en.wikipedia.org/wiki/Mohabbat_Zindagi_Hai
Neend Hamari Khwab Tumhare,1966,https://en.wikipedia.org/wiki/Neend_Hamari_Khwab_Tumhare
Insaaf,1966,https://en.wikipedia.org/wiki/Insaaf
Picnic,1966,
Dus Lakh,1966,https://en.wikipedia.org/wiki/Dus_Lakh
Dillagi,1966,https://en.wikipedia.org/wiki/Dillagi_(1966_film)
Pyar Mohabbat,1966,https://en.wikipedia.org/wiki/Pyar_Mohabbat
Aasra,1966,https://en.wikipedia.org/wiki/Aasra
Sagaai,1966,https://en.wikipedia.org/wiki/Sagaai
Laadla,1966,https://en.wikipedia.org/wiki/Laadla_(1966_film)
Husn Aur Ishq,1966,
Preet Na Jane Reet,1966,
Zimbo Finds a Son,1966,
Daadi Maa,1966,https://en.wikipedia.org/wiki/Daadi_Maa
Ladki Sahyadri Ki,1966,https://en.wikipedia.org/wiki/Ladki_Sahyadri_Ki
Chhota Bhai,1966,https://en.wikipedia.org/wiki/Padma_Sachdev
Smuggler,1966,
Budtameez,1966,https://en.wikipedia.org/wiki/Budtameez
Saaz Aur Awaaz,1966,https://en.wikipedia.org/wiki/Dil_Diya_Dard_Liya
Rustom Kaun,1966,
Sau Saal Baad,1966,https://en.wikipedia.org/wiki/Sau_Saal_Baad
Pati Patni,1966,https://en.wikipedia.org/wiki/Pati_Patni
Main Wohi Hoon,1966,
Uski Kahani,1966,https://en.wikipedia.org/wiki/List_of_Hindi_films_of_1966
Pinjre Ke Panchhi,1966,https://en.wikipedia.org/wiki/Pinjre_Ke_Panchhi
Subhash Chandra,1966,https://en.wikipedia.org/wiki/Subhas_Chandra_Bose
Lab Kush,1966,
Patthar Ke Sanam,1967,
Dil Ne Pukara,1967,
Majhli Didi,1967,https://en.wikipedia.org/wiki/Majhli_Didi
Wahan Ke Log,1967,https://en.wikipedia.org/wiki/Wahan_Ke_Log
Badrinath Yatra,1967,https://en.wikipedia.org/wiki/List_of_Hindi_films_of_1967
Chand Par Chadayee,1967,https://en.wikipedia.org/wiki/Chand_Par_Chadayee
Raat Andheri Thi,1967,https://en.wikipedia.org/wiki/Feroz_Khan_(actor)
Milan,1967,https://en.wikipedia.org/wiki/Milan_(1967_film)
Ram Aur Shyam,1967,https://en.wikipedia.org/wiki/Ram_Aur_Shyam
Raaz,1967,https://en.wikipedia.org/wiki/Raaz_(1967_film)
Aamne - Saamne,1967,https://en.wikipedia.org/wiki/Aamne_Samne_(1967_film)
Noorjehan,1967,https://en.wikipedia.org/wiki/Noor_Jahan
Rustom Sohrab,1967,https://en.wikipedia.org/wiki/Shahnameh
Aurat,1967,https://en.wikipedia.org/wiki/Aurat_(1967_film)
